SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,datetime,Flow (Veh/hr)
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 9:00,1373
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 10:00,1193
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 11:00,1094
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 12:00,1108
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 13:00,1116
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 14:00,1174
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 15:00,1270
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 16:00,1373
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 17:00,1430
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 18:00,1132
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 19:00,748
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 20:00,559
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 21:00,547
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 22:00,383
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,3/10/2006 23:00,199
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 0:00,95
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 1:00,48
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 2:00,29
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 3:00,27
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 4:00,50
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 5:00,207
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 6:00,713
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 7:00,1300
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 8:00,1563
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 9:00,1366
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 10:00,1184
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 11:00,1119
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 12:00,1166
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 13:00,1183
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 14:00,1041
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 15:00,1213
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 16:00,1312
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 17:00,1360
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 18:00,1181
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 19:00,772
