loss,mae,val_loss,val_mae
0.02150101028382778,0.10568337887525558,0.015832586213946342,0.09406459331512451
0.009125557728111744,0.06763175129890442,0.006020601373165846,0.05474865436553955
0.004755664151161909,0.049526724964380264,0.00467098131775856,0.051628850400447845
0.0036247456446290016,0.043707653880119324,0.003040318377315998,0.039099015295505524
0.0029406538233160973,0.03893493488430977,0.003057792317122221,0.04076608642935753
0.00261526252143085,0.03686148300766945,0.00231587840244174,0.03477124497294426
0.002430893247947097,0.035734307020902634,0.002207840560004115,0.03432999551296234
0.002303214743733406,0.034883078187704086,0.0024839637335389853,0.037438906729221344
0.002190209226682782,0.034169211983680725,0.002273870399221778,0.03468704596161842
0.0020651344675570726,0.03308824822306633,0.00196481728926301,0.032454077154397964
0.001970000797882676,0.03226623311638832,0.002177008893340826,0.03421369940042496
0.0018828012980520725,0.03142038360238075,0.0019004321657121181,0.031342603266239166
0.0017946336884051561,0.030648963525891304,0.001739941886626184,0.030050747096538544
0.0017472428735345602,0.030223999172449112,0.0015348234446719289,0.027939992025494576
0.0016573620960116386,0.02949237823486328,0.0015002405270934105,0.02743101306259632
0.0016206586733460426,0.028985192999243736,0.0016012671403586864,0.02973644621670246
0.001519132754765451,0.02817561849951744,0.001589225372299552,0.029588734731078148
0.0014614228857681155,0.02745717018842697,0.0013351298402994871,0.026113014668226242
0.001412661629728973,0.02705533057451248,0.0013972041197121143,0.026460936293005943
0.001371383317746222,0.026588432490825653,0.0012624162482097745,0.02483399026095867
0.001302739605307579,0.025759518146514893,0.0013723872834816575,0.02640075795352459
0.0012512492248788476,0.025133928284049034,0.0012257092166692019,0.025400923565030098
0.0012229462154209614,0.024825116619467735,0.0011772590223699808,0.02405012585222721
0.0012110831448808312,0.024829281494021416,0.0011327663669362664,0.023987365886569023
0.0011703858617693186,0.024386582896113396,0.001157895545475185,0.02409607544541359
0.0011274663265794516,0.02388880029320717,0.0010824494529515505,0.023877721279859543
0.0011142948642373085,0.023694973438978195,0.0011429596925154328,0.024091176688671112
0.0010768843349069357,0.023255739361047745,0.0012582908384501934,0.024953830987215042
0.0010680360719561577,0.023030700162053108,0.0011215085396543145,0.02361275441944599
0.0010606151772662997,0.023068208247423172,0.0010602044640108943,0.023056020960211754
0.0010392570402473211,0.022850176319479942,0.0009546676301397383,0.021927647292613983
0.001011745072901249,0.022460103034973145,0.0009676703484728932,0.022204121574759483
0.0009961139876395464,0.022226249799132347,0.0010315784020349383,0.023699477314949036
0.0009867657208815217,0.022033816203475,0.0008792839362286031,0.02058335393667221
0.000976740731857717,0.022088218480348587,0.0010091805597767234,0.023327110335230827
0.000980357639491558,0.022014660760760307,0.0009001460275612772,0.021071186289191246
0.000930455164052546,0.02137237973511219,0.0009389484184794128,0.021407563239336014
0.0009300471283495426,0.02142977900803089,0.0008916134829632938,0.02052483521401882
0.0009120705653913319,0.02103080041706562,0.0008808894199319184,0.020964758470654488
